values,samplingRateHz
7798.5156,200
7798.5156,
7425.1094,
7051.703,
6304.8926,
6304.8926,
6304.8926,
5931.4863,
5931.4863,
5931.4863,
5184.674,
5184.674,
4811.2695,
5558.08,
5184.674,
4811.2695,
5184.674,
4437.8633,
4811.2695,
4811.2695,
4064.457,
4064.457,
4437.8633,
4064.457,
3691.0518,
3691.0518,
3691.0518,
4437.8633,
5184.674,
5931.4863,
6304.8926,
6678.299,
5558.08,
2570.834,
3317.6465,
3317.6465,
3317.6465,
4437.8633,
4064.457,
4064.457,
4064.457,
3691.0518,
3317.6465,
4064.457,
3691.0518,
3317.6465,
3317.6465,
3691.0518,
3317.6465,
2944.2402,
2197.4287,
2570.834,
3317.6465,
3317.6465,
2570.834,
2944.2402,
1824.0234,
2570.834,
2944.2402,
2570.834,
2570.834,
2570.834,
2197.4287,
2570.834,
2944.2402,
2944.2402,
2944.2402,
2944.2402,
2570.834,
2570.834,
2570.834,
1077.2109,
-43.00586,
703.80566,
1077.2109,
1824.0234,
1077.2109,
2197.4287,
1824.0234,
1824.0234,
2197.4287,
2197.4287,
2197.4287,
1824.0234,
2197.4287,
1450.6172,
1824.0234,
1450.6172,
1824.0234,
1077.2109,
1824.0234,
2197.4287,
1450.6172,
1824.0234,
1824.0234,
1824.0234,
1824.0234,
1450.6172,
1824.0234,
1450.6172,
1077.2109,
1824.0234,
1824.0234,
1824.0234,
1450.6172,
2570.834,
1824.0234,
1077.2109,
1824.0234,
1824.0234,
1824.0234,
1824.0234,
1824.0234,
2197.4287,
1824.0234,
1077.2109,
2197.4287,
1824.0234,
1450.6172,
2197.4287,
1824.0234,
2197.4287,
2944.2402,
2944.2402,
3317.6465,
2944.2402,
3691.0518,
3317.6465,
2944.2402,
2944.2402,
2944.2402,
1824.0234,
1824.0234,
1824.0234,
1824.0234,
703.80566,
1077.2109,
703.80566,
1077.2109,
1450.6172,
703.80566,
1077.2109,
1450.6172,
703.80566,
1450.6172,
1450.6172,
1450.6172,
1450.6172,
703.80566,
1450.6172,
1077.2109,
703.80566,
1077.2109,
703.80566,
1077.2109,
1077.2109,
703.80566,
330.4004,
