Time;Code;Pallete;Crash;Roller;Platform;Speed_1;Speed_2;Speed_3;Speed_4;Speed_5
2025-10-29 10:20:42.0;06;06;01;01;0050;0000;0000;0000;0004;0001
2025-10-29 10:20:42.1;06;06;01;01;0050;0000;0000;0000;0009;0001
2025-10-29 10:20:42.2;06;06;01;01;0050;0000;0000;0000;0014;0001
2025-10-29 10:20:42.3;06;06;01;01;0050;0000;0000;0004;0044;0002
2025-10-29 10:20:42.4;06;06;01;01;0050;0000;0004;0009;0073;0002
2025-10-29 10:20:42.5;06;06;01;01;0050;0000;0009;0014;0133;0003
2025-10-29 10:20:42.6;06;06;01;01;0050;0000;0014;0046;0192;0004
2025-10-29 10:20:42.7;06;06;01;01;0050;0000;0019;0077;0250;0004
2025-10-29 10:20:42.8;06;06;01;01;0050;0000;0024;0108;0314;0005
2025-10-29 10:20:42.9;06;06;01;01;0050;0000;0029;0142;0379;0006
2025-10-29 10:20:43.0;06;06;01;01;0050;0000;0034;0177;0442;0006
2025-10-29 10:20:43.1;06;06;01;01;0050;0000;0039;0211;0502;0007
2025-10-29 10:20:43.2;06;06;01;01;0050;0000;0044;0245;0561;0008
2025-10-29 10:20:43.3;06;06;01;01;0050;0000;0049;0274;0592;0008
2025-10-29 10:20:43.4;06;06;01;01;0050;0000;0049;0304;0627;0009
2025-10-29 10:20:43.5;06;06;01;01;0050;0000;0053;0334;0633;0010
2025-10-29 10:20:43.6;06;06;01;01;0050;0000;0057;0337;0644;0010
2025-10-29 10:20:43.7;06;06;01;01;0050;0000;0061;0340;0659;0011
2025-10-29 10:20:43.8;06;06;01;01;0050;0000;0065;0343;0667;0012
2025-10-29 10:20:43.9;06;06;01;01;0050;0000;0070;0344;0675;0013
2025-10-29 10:20:44.0;06;06;01;01;0050;0000;0074;0344;0680;0013
2025-10-29 10:20:44.1;06;06;01;01;0050;0000;0078;0345;0687;0014
2025-10-29 10:20:44.2;06;06;01;01;0050;0000;0082;0346;0695;0015
2025-10-29 10:20:44.3;06;06;01;01;0050;0000;0086;0347;0704;0015
2025-10-29 10:20:44.4;06;06;01;01;0050;0000;0091;0347;0702;0016
2025-10-29 10:20:44.5;06;06;01;01;0050;0000;0091;0347;0701;0017
2025-10-29 10:20:44.6;06;06;01;01;0550;0000;0091;0347;0692;0017
2025-10-29 10:20:44.7;06;06;01;01;0550;0000;0091;0347;0681;0018
2025-10-29 10:20:44.8;06;06;01;01;0550;0000;0091;0346;0661;0018
2025-10-29 10:20:44.9;06;06;01;01;0550;0000;0091;0346;0640;0019
2025-10-29 10:20:45.0;06;06;01;01;0550;0000;0091;0345;0619;0019
2025-10-29 10:20:45.1;06;06;01;01;0050;0000;0091;0344;0614;0020
2025-10-29 10:20:45.2;06;06;01;01;0550;0000;0091;0343;0618;0021
2025-10-29 10:20:45.3;06;06;01;01;0550;0000;0091;0342;0624;0022
2025-10-29 10:20:45.4;06;06;01;01;0550;0000;0092;0341;0638;0022
2025-10-29 10:20:45.5;06;06;01;01;0550;0000;0092;0340;0653;0023
2025-10-29 10:20:45.6;06;06;01;01;0550;0000;0091;0339;0671;0024
2025-10-29 10:20:45.7;06;06;01;01;0550;0000;0091;0339;0691;0025
2025-10-29 10:20:45.8;06;06;01;01;0050;0000;0091;0338;0718;0026
2025-10-29 10:20:45.9;06;06;01;01;0050;0000;0091;0338;0746;0026
2025-10-29 10:20:46.0;06;06;01;01;0050;0000;0091;0338;0774;0027
2025-10-29 10:20:46.1;06;06;01;01;0050;0000;0090;0337;0786;0028
2025-10-29 10:20:46.2;06;06;01;01;0050;0000;0090;0337;0789;0029
2025-10-29 10:20:46.3;06;06;01;01;0050;0000;0090;0337;0791;0030
2025-10-29 10:20:46.4;06;06;01;01;0050;0000;0090;0337;0792;0030
2025-10-29 10:20:46.5;06;06;01;01;0050;0000;0090;0337;0792;0031
2025-10-29 10:20:46.6;06;06;01;01;0050;0000;0090;0337;0791;0032
2025-10-29 10:20:46.7;06;06;01;01;0050;0000;0090;0336;0790;0033
2025-10-29 10:20:46.8;06;06;01;01;0050;0000;0089;0335;0788;0034
2025-10-29 10:20:46.9;06;06;01;01;0050;0000;0089;0335;0788;0034
2025-10-29 10:20:47.0;06;06;01;01;0050;0000;0089;0334;0786;0035
2025-10-29 10:20:47.1;06;06;01;01;0050;0000;0088;0333;0784;0036
2025-10-29 10:20:47.2;06;06;01;01;0050;0000;0088;0333;0783;0037
2025-10-29 10:20:47.3;06;06;01;01;0050;0000;0088;0332;0780;0037
2025-10-29 10:20:47.4;06;06;01;01;0050;0000;0087;0331;0770;0038
2025-10-29 10:20:47.5;06;06;01;01;0050;0000;0087;0330;0759;0039
2025-10-29 10:20:47.6;06;06;01;01;0050;0000;0087;0329;0742;0039
2025-10-29 10:20:47.7;06;06;01;01;0050;0000;0087;0328;0719;0040
2025-10-29 10:20:47.8;06;06;01;01;0050;0000;0087;0327;0696;0040
2025-10-29 10:20:47.9;06;06;01;01;0050;0000;0086;0326;0665;0041
2025-10-29 10:20:48.0;06;06;01;01;0050;0000;0086;0325;0636;0041
2025-10-29 10:20:48.1;06;06;01;01;0050;0000;0086;0324;0613;0042
2025-10-29 10:20:48.2;06;06;01;01;0050;0000;0086;0322;0590;0043
2025-10-29 10:20:48.3;06;06;01;01;0050;0000;0086;0321;0575;0043
2025-10-29 10:20:48.4;06;06;01;01;0050;0000;0085;0320;0572;0044
2025-10-29 10:20:48.5;06;06;01;01;0050;0000;0085;0319;0568;0044
2025-10-29 10:20:48.6;06;06;01;01;0050;0000;0085;0318;0572;0045
2025-10-29 10:20:48.7;06;06;01;01;0050;0000;0085;0317;0584;0046
2025-10-29 10:20:48.8;06;06;01;01;0050;0000;0085;0316;0595;0047
2025-10-29 10:20:48.9;06;06;01;01;0050;0000;0085;0316;0614;0047
2025-10-29 10:20:49.0;06;06;01;01;0050;0000;0085;0315;0630;0048
2025-10-29 10:20:49.1;06;06;01;01;0050;0000;0084;0315;0640;0048
2025-10-29 10:20:49.2;06;06;01;01;0050;0000;0084;0314;0648;0049
2025-10-29 10:20:49.3;06;06;01;01;0050;0000;0084;0314;0650;0050
2025-10-29 10:20:49.4;06;06;01;01;0050;0000;0084;0314;0647;0050
2025-10-29 10:20:49.5;06;06;01;01;0050;0000;0084;0313;0645;0051
2025-10-29 10:20:49.6;06;06;01;01;0050;0000;0083;0313;0642;0052
2025-10-29 10:20:49.7;06;06;01;01;0050;0000;0083;0312;0642;0052
2025-10-29 10:20:49.8;06;06;01;01;0050;0000;0083;0312;0644;0053
2025-10-29 10:20:49.9;06;06;01;01;0050;0000;0083;0311;0648;0054
2025-10-29 10:20:50.0;06;06;01;01;0050;0000;0083;0310;0653;0054
2025-10-29 10:20:50.1;06;06;01;01;0050;0000;0083;0309;0657;0055
2025-10-29 10:20:50.2;06;06;01;01;0050;0000;0083;0308;0662;0056
2025-10-29 10:20:50.3;06;06;01;01;0050;0000;0083;0308;0667;0056
2025-10-29 10:20:50.4;06;06;01;01;0050;0000;0082;0307;0671;0057
2025-10-29 10:20:50.5;06;06;01;01;0050;0000;0082;0306;0674;0058
2025-10-29 10:20:50.6;06;06;01;01;0050;0000;0082;0305;0670;0058
2025-10-29 10:20:50.7;06;06;01;01;0550;0000;0081;0304;0657;0059
2025-10-29 10:20:50.8;06;06;01;01;0550;0000;0081;0304;0642;0059
2025-10-29 10:20:50.9;06;06;01;01;0550;0000;0081;0303;0622;0060
2025-10-29 10:20:51.0;06;06;01;01;0550;0000;0080;0302;0603;0060
2025-10-29 10:20:51.1;06;06;01;01;0550;0000;0080;0301;0592;0061
2025-10-29 10:20:51.2;06;06;01;01;0550;0000;0080;0301;0595;0062
2025-10-29 10:20:51.3;06;06;01;01;0050;0000;0080;0300;0597;0063
2025-10-29 10:20:51.4;06;06;01;01;0550;0000;0080;0300;0606;0063
2025-10-29 10:20:51.5;06;06;01;01;0550;0000;0080;0300;0617;0064
2025-10-29 10:20:51.6;06;06;01;01;0550;0000;0079;0300;0634;0065
2025-10-29 10:20:51.7;06;06;01;01;0550;0000;0079;0301;0657;0066
2025-10-29 10:20:51.8;06;06;01;01;0550;0000;0079;0301;0679;0066
2025-10-29 10:20:51.9;06;06;01;01;0050;0000;0079;0302;0708;0067
2025-10-29 10:20:52.0;06;06;01;01;0050;0000;0079;0303;0735;0068
2025-10-29 10:20:52.1;06;06;01;01;0050;0000;0079;0304;0756;0069
2025-10-29 10:20:52.2;06;06;01;01;0050;0000;0079;0305;0766;0070
2025-10-29 10:20:52.3;06;06;01;01;0050;0000;0079;0306;0775;0070
2025-10-29 10:20:52.4;06;06;01;01;0050;0000;0079;0307;0778;0071
2025-10-29 10:20:52.5;06;06;01;01;0050;0000;0079;0308;0780;0072
2025-10-29 10:20:52.6;06;06;01;01;0050;0000;0079;0309;0783;0073
2025-10-29 10:20:52.7;06;06;01;01;0050;0000;0079;0310;0785;0074
2025-10-29 10:20:52.8;06;06;01;01;0050;0000;0079;0310;0787;0074
2025-10-29 10:20:52.9;06;06;01;01;0050;0000;0079;0311;0789;0075
2025-10-29 10:20:53.0;06;06;01;01;0050;0000;0079;0312;0789;0076
2025-10-29 10:20:53.1;06;06;01;01;0050;0000;0079;0313;0790;0077
2025-10-29 10:20:53.2;06;06;01;01;0050;0000;0079;0313;0790;0078
2025-10-29 10:20:53.3;06;06;01;01;0050;0000;0079;0314;0790;0078
2025-10-29 10:20:53.4;06;06;01;01;0050;0000;0079;0315;0789;0079
